,content,summary,pred_relevance
17,"WASHINGTON, DC, US — The US Department of Agriculture in its June World Agricultural Supply and Demand Estimates (WASDE) report marginally raised from May its forecasts for domestic wheat, corn and soybean supplies for 2023-24.

For wheat, the only one of the three major US crops in the 2023-24 marketing year (since June 1), a 6-million-bushel increase in 2023 production forecast at 1.136 billion bushels was carried through to the same increase for carryover on June 1, 2024, forecast at 562 million bushels. There were no changes from May to forecast 2023-24 wheat domestic use or exports. The average price of wheat paid to farmers in 2023-24 was forecast at $7.40 per bushel, down 30¢ from May and down $1.15, or 13%, from 2022-23.

The boost in wheat production was the result of a 2% increase from May in forecast hard red winter outturn at 525 million bushels, more than offsetting 1% decreases for both soft red winter at 402 million bushels and white winter at 209 million bushels. The increase in hard red winter wheat mostly resulted from beneficial rainfall in the dry southern Plains late in the growing season despite subpar crops in Oklahoma and top-producing Kansas. Production estimates were raised from May for Colorado, Oklahoma and Texas but were unchanged for Kansas, Nebraska, South Dakota and Montana.

The USDA in its weekly Crop Progress report said winter wheat as of June 11 was 1% harvested in Kansas, 26% in Oklahoma and 46% in Texas. Combines should move swiftly northward due to smaller crops in Oklahoma and Kansas although rain has caused some intermittent delays in Oklahoma.

For corn and soybeans, changes from May made to 2022-23 estimates were carried over to higher 2023-24 beginning stocks and carryover, with no changes to 2023-24 domestic use or export forecasts.

Corn carryover on Sept. 1, 2023, was forecast at 1.452 billion bushels, up 35 million bushels from May based on forecast 2022-23 exports at 1.725 billion bushels, down 50 million bushels, partially offset by a 15-million-bushel drop in imports at 25 million bushels. Corn carryover on Sept. 1, 2024, was forecast at 2.257 billion bushels, up 35 million bushels from May. The average price of corn paid to farmers in 2023-24 was unchanged from May at $4.80 per bushel, down $1.80 per bushel, or 27%, from 2022-23.

Soybean carryover on Sept. 1, 2023, was forecast at 230 million bushels, up 15 million bushels from May based on a 15-million-bushel decline in 2022-23 soybean crush, forecast at 2 billion bushels. Soybean carryover on Sept. 1, 2024, was forecast at 350 million bushels, up 15 million bushels from May. The average price of soybeans paid to farmers in 2023-24 was unchanged from May at $12.10 per bushel, down $2.10 per bushel, or 15%, from the current year.

The outlook from a meteorologist and several analysts at the recent Sosland Publishing Co. Purchasing Seminar in Kansas City, Missouri, US, was for generally larger grain and oilseed supplies, helped by increased planted and harvested area and favorable weather during the bulk of the North American growing season, with the main area of concern in Asia due to the potential impact of El Niño, which tends to bring dry conditions. Dryness in June in North America was expected to give way to improved moisture conditions in July.

June dryness was reflected in the USDA’s latest corn and soybean crop ratings. Corn in the 18 major producing states was rated 61% good to excellent as of June 11, down from 64% a week earlier and 72% at the same time last year. Soybeans in the 18 major states were rated 59% good to excellent as of June 11, down from 62% the prior week and 70% a year ago.

US wheat numbers will become more complete in July when the USDA makes its first survey-based durum and other spring wheat estimates, adding to survey-based winter wheat estimates that began in May. The first survey-based corn and soybean estimates will be released in August. Estimates of all crops will benefit from the June 30 Acreage report, which will update area forecasts from the March 31 Prospective Plantings report. The USDA in its May WASDE report, based on Prospective Plantings data and trend analysis, forecast record high US corn and soybean production in 2023.","The US Department of Agriculture's June World Agricultural Supply and Demand Estimates (WASDE) report marginally raised from May its forecasts for domestic wheat, corn and soybean supplies for 2023-24. Wheat was the only one of the three major US crops in this marketing year, with a 6-million-bushel increase in 2023 production forecast at 1.136 billion bushels carried through to the same increase for carryover on June 1, 2024, forecast at 562 million bushel. Corn carryover was forecast at 2.257 billion bus Hels, up 35 million from May based on forecast 2022-23 exports, and soybeans at 350 million bushes. The outlook from a meteorologist and several analysts was for larger grain and oilseed supplies, helped by increased planted and harvested area and favorable weather during the bulk of the North American growing season, with the main area of concern in Asia due to the potential impact of El Niño. The first survey-based estimates of all crops will be released in August, and the US Wheat and Soybean Estimates of all three will benefit from this report.",0
18,"Poor rainfall is expected, which, along with dryness, will likely impact Australia’s wheat output in MY 2023-24 (October-September).

Australia is expected to harvest 26.2 million mt wheat in MY 2023-24, down 33.9% on the year, the Australian Bureau of Agricultural Resource Economics and Sciences said.

In Argentina, above-average showers are expected to boost yields and increase output.

Argentina is expected to harvest 19.5 million mt in MY 2023-24 (December-November), up 55.4% on the year, the US Department of Agriculture said.

An emergence of El Nino phenomenon could affect global agricultural yields and alter trade flows in the 2023-24 season, according to agricultural bodies, meteorological agencies and trade analysts.

The US Climate Prediction Centre said June 8 that weak El Nino conditions were observed across equatorial Pacific Ocean. The agency claimed there were 56% chances of the conditions strengthening during November-January.

In the meantime, the Australian Bureau of Meteorology on June 6 stepped up its probability forecast to “El Nino Alert” from “El Nino Watch”, indicating higher chances of an El Nino forming in late-2023.

El Nino ‘s probability is measured by warming of the surface waters in equatorial Pacific Ocean and the phenomenon leads to higher chances of lower rainfall, including drought in India, Southeast Asia, Australia, and the northern areas of South and Central America.

The last strong El Nino phenomenon occurred during 2014 to 2016 and brought drought in Australia and forest fires in Indonesia.

“In the case of South America, the association was mixed. In Chile on the western coast and Uruguay etc. on the eastern coast, the major effect was of excessive rains. In Argentina and central Brazil, the effects were unclear,” the UN Food and Agriculture Organization said in a report April 27.
• Australia’s wheat exports are likely to decline due to an anticipated drop in harvest. ABARES has pegged Australian wheat exports in MY 2023-24 at 21 million mt, down 29% on the year.
• Argentina’s wheat shipments are expected to pick up in MY 2023-24. The country will likely ship out 13.5 million mt, up from 5 million mt in the previous year.
• Platts, part of S&P Global Commodity Insights, assessed Australian premium white wheat FOB prices at $290/mt on June 14, up $4/mt on the day.
• Platts assessed Australian standard white wheat FOB prices at $264/mt June 14, up $3/mt on the day.
• Argentina is estimated to harvest 48 million mt soybean in MY 2023-24, nearly doubling on the year from 25 million mt in the previous season, the USDA said.
• Brazil soybean output is also pegged to rise around 4% higher on the year to 163 million mt in MY 2023-24, the USDA said.
• Argentina and Brazil are the world’s largest exporters of soybean oil and meal. Brazil is also a major supplier of raw soybeans.
• Increased availability of raw beans is also likely to push up crushing in these countries. Argentina’s soybean crushing is projected to increase 20% on the year to 36 million mt. In Brazil, raw bean processing is estimated to rise 4.2% over the year to 55.75 million mt.
• The increase in soybean production and crushing is also likely to boost global availability of soybean derivative in MY 2023-23.
• Global soybean meal production is expected to rise by over 6.18% on the year to 260.54 million mt. Soybean oil output will likely rise to 62.4 million mt, against 58.7 million mt in the previous year.
• Brazil raw soybean export is estimated to rise 4% on the year to 96.5 million mt for MY 2023-24.
• Argentina’s soybean meal shipments are pegged at 24.3 million mt, up 15.2% on the year while oil exports are projected at 4.5 million mt, up 20% on the year.
• Soybean meal exports from Brazil were also expected to increase slightly to 21.8 million mt from 21.65 million mt in the previous year.
• Platts assessed Soybean meal Brazil FOB Paranagua at $432.87/mt on June 14, down $13.01/mt on the day. Soybean oil Brazil FOB Paranagua was assessed at $947.11/mt on June 14, down $10.36/mt on the day.
• Platts assessed Soybean meal Argentina FOB up river at $442.79/mt June 14, down $9.7/mt on the day.
• A mild El Nino could reduce Malaysia’s palm oil production by 10% while a severe one could pull it down by as much as 20%, the Malaysian Palm Oil board said in May.
• In Indonesia, drier weather caused by the El Nino phenomenon may lead to forest fires and threaten harvest, the head of its weather agency said June 6.
• Malaysia’s palm oil yield may drop 23% due to prolonged dry weather, based on past track record, UOB Kay Hian analyst Leow Huey Chuen said.
• The US-based Foreign Agricultural Service lowered the world’s palm oil production outlook to 79.26 million mt for MY 2023-24 (October-September) on June 9, from 79.56 million mt a month ago.
• The effect of an El Nino event this year on production and trade could get more pronounced in 2024, analysts reckoned, as oil palm trees are resistant to water stress, but extended droughts will weigh on yields and quality of fruits.
• Global exports of palm oil in MY 2023-24 were revised lower by the FAS in June to 51.13 million mt from 51.33 million mt, largely on lower exports from Malaysia.
• Indonesia’s palm oil exports in MY 2023-24 are seen at 28.4 million mt, lower than its MY 2022-23 exports of 28.45 million mt, according to the FAS.
• Platts assessed Crude Palm Oil FOB Indonesia at $810/mt on June 14, up $14/mt on the day.
• On the destination side, Crude Palm Oil CFR West Coast India was assessed at $862/mt on June 14, up $22/mt on the day, while Crude Palm Oil CIF Rotterdam was assessed at $875/mt, down $2.5/mt on the day.","The US Climate Prediction Centre and the Australian Bureau of Meteorology have both predicted poor rainfall and dryness to impact Australia’s wheat output in the 2023-24 season, with Argentina and Argentina expected to increase yields and increase output respectively. Poor rainfall is expected to affect crops, as well as higher chances of lower rainfall in India, Southeast Asia, Australia, and the northern areas of South and Central America. The US Climate prediction Centre has noted that El Nino conditions are expected to strengthen across the equatorial Pacific Ocean, leading to lower rainfall and lower global production of wheat and wheat. Platts assessed Australian standard white wheat FOB prices at $264/mt on June 14, up $3/mt. Argentina is estimated to harvest 48 million mt soybean in MY 2023/24, nearly doubling on the year from 25 million mt in the previous season, while Brazil soybean output is also pegged to rise around 4% higher on the Year to 163 million mt. Soybean exports are also expected to rise by 6.18%.",1
19,"KUALA LUMPUR, June 19 (Reuters) - Malaysian palm oil futures advanced for a fifth consecutive session on Monday amid concerns over dry weather taking a toll on global production of palm and soybeans.

The benchmark palm oil contract FCPOc3 for September delivery on the Bursa Malaysia Derivatives Exchange gained 15 ringgit, or 0.4%, to 3,758 ringgit ($817.91) per metric ton, its highest since May 9.

The market seems to be steady with expectations of some yield losses in Malaysia due to hot and dry weather, said Mitesh Saiya, trading manager at Mumbai-based trading firm Kantilal Laxmichand & Co.

But Indonesia has been putting pressure on the market by selling cheaper palm olein as production has increased, and it is now looking to capture more market share, he added.

Signs of worsening drought in the U.S. Midwest have also heightened concerns over soybean crops, pushing Chicago soybean futures to hit their highest in nearly six weeks on Friday.

The soyoil market on the Chicago Board of Trade BOcv1 was closed on Monday for a public holiday.

Palm oil is affected by price movements in related oils as they compete for a share in the global vegetable oils market.

Refinitiv Agriculture Research said in a note that the contract might extend the rally towards the resistance levels of 3,830-3,850 ringgit per metric ton this week, with support at 3,680-3,700 ringgit per metric ton.","Malaysan palm oil futures advanced for a fifth consecutive session on Monday amid concerns over dry weather taking a toll on global production of palm and soybeans. The benchmark palm oil contract FCPOc3 for September delivery on the Bursa Malaysia Derivatives Exchange gained 15 ringgit, or 0.4%, to 3,758 ringgit ($817.91) per metric ton, its highest since May 9. Indonesia has been putting pressure on the market by selling cheaper palm olein as production has increased, and it is now looking to capture more market share. Signs of worsening drought in the U.S. Midwest have also heightened concerns over soybean crops, pushing Chicago soybean futures to hit their highest in nearly six weeks on Friday. The soyoil market on the Chicago Board of Trade BOcv1 was closed on Monday for a public holiday.",0
20,"PerkinElmer will be hosting a webinar on June 21 and provide further insights into lower emission fuel products.
The presenters will include Prof David Bressler, from the University of Alberta, Nicholas Lancaster, applications scientist from PerkinElmer, and Gerlinde Wita, global market leader, also from PerkinElmer.
The in-depth presentation will cover everything from feedstocks to finished-blended and drop-in fuel products.
Technologies covered in this webinar will also include thermal analysis and ICP instrumentation, techniques and laboratory support.
Listeners will be able to gain more about biofuel market trends as well as learn about analytical laboratory techniques.
R&D developments for biodiesel and bioethanol will also be discussed as well issues surrounding feedstocks and refining products.
Sustainable aviation fuel will also be on the agenda as will hydrocarbon extraction research.
Researchers, engine designers, product scientists and chemical engineers will benefit from listening in.
For more information about how to register here.","PerkinElmer will be hosting a webinar on June 21 to discuss pressing biofuel issues and provide further insights into lower emission fuel products. The webinar will cover everything from feedstocks to finished-blended and drop-in fuel products, as well as technical developments for biodiesel and bioethanol. Researchers, engine designers, product scientists and chemical engineers will benefit from listening in. For more information about how to register, please visit the website.",0
21,"Rapeseed prices rose 9.2% for the week amid drought in the US and Canada and forecasts of a reduced crop in Australia

Weather factors added to speculative pressure on soybeans last week, followed by canola, although prices remain well below a year ago.

August rapeseed futures on the Paris exchange were up 9.2% for the week at €473.5/t or $517.8/t, adding 23% since the start of the month, although they fell to their lowest since April 2021 on May 30 p level – 385 €/t. A year ago, rapeseed futures traded at €675/t, despite forecasts of a good global rapeseed harvest in 2022/23 MY.

The main driver of the rise in canola prices last week was a decline in canola production forecasts in Australia. In a new report, the Australian Bureau of Agricultural and Natural Resource Economics (ABARES) lowered its canola crop forecast to 4.9 million tonnes, well below the record 8.2 million tonnes for the 2022/23 season.

The reason for the adjustment will be this year’s drought caused by the El Nino phenomenon, which will end a three-year streak of record harvests, as well as a reduction in planted areas. In the main agricultural regions of Australia, autumn rains replenished soil moisture reserves and provided conditions for canola planting, but in the north the amount of precipitation was insufficient.

June’s dry weather across much of North America led to a sharp spike in speculative prices for soybeans in Chicago and canola in Winnipeg.

Overall, the weather has been favorable for canola planting in Canada, and crops are in good shape now, but analysts are predicting a lack of rainfall in the second half of June, particularly in the eastern Prairies

November canola futures on the Winnipeg exchange were up 6.8% for the week at CAD710/t, or $537/t.

The premium for November Canadian canola futures over European canola futures hit a record high of $92/t, but has now eased to $20/t, although it needs to be at least $30-50/t to enter the EU market .

In MY 2022/23, the EU imported 7.16 million tons of rapeseed, including 48.6% or 3.477 million tons from Australia, 41.4% or 2.96 million tons from Ukraine, and only 3.2% or 230 thousand t – from Canada (compared with last year’s 611,000 t).

In Ukraine, forward rapeseed prices remain at a low level of $320-330/t with delivery to the Danube ports, as it is not known how the Black Sea ports will work after July 18. For deliveries to the EU, exporters offer €390-400/t, but only with delivery in September-November.","Rapeseed prices rose 9.2% for the week amid drought in the US and Canada and forecasts of a reduced crop in Australia. Weather factors added to speculative pressure on soybeans last week, followed by canola, although prices remain well below a year ago. The main driver of the rise in canola prices last week was a decline in Canola production forecasts in Australia, which has lowered its canola crop forecast to 4.9 million tonnes, well below the record 8.2 million tonnes for the 2022/23 season. The EU imported 7.16 million tons of rapeseed, including 48.6% or 3.477 million tons from Australia, 41.4% or 2.96 million tonnes from Ukraine. In Ukraine, forward rapeseed prices remain at a low level of $320-330/t with delivery to the Danube ports, as it is not known how the Black Sea ports will work after July 18.",1
22,"June 19, 2023 – The Canola Council of Canada (CCC) is inviting applications for year two of Canola 4R Advantage through a new digital portal opening on June 26. Canola 4R Advantage, funded through Agriculture and Agri-Food Canada’s On-Farm Climate Action Fund (OFCAF), offers financial support to growers as they initiate or advance 4R Nutrient Stewardship on their farms.

The new, user-friendly digital portal will be available at canolacouncil.org/4r-advantage, and will allow growers to check the status of their participation through all stages of the process, from applying to submitting claims.

“We’re excited to launch the second year of Canola 4R Advantage and continue to build on canola growers’ leadership in sustainability,” says Jim Everson, CCC president. “Our program is focused on 4R practices to make the most efficient use of a growers’ fertilizer investment, which is good for farm productivity and the environment.”

To help growers prepare, the CCC has posted a demo video on how to apply, as well as a recorded webinar on year two program enhancements.

Year two of Canola 4R Advantage will cover expenses invoiced and paid by growers between April 1, 2023 and March 31, 2024. In year two, the program is expanding opportunities in several ways:
• More dollars per BMP: Growers can now seek up to $20,000 in assistance for each of the four eligible BMPs (soil testing, field zone mapping, enhanced efficiency fertilizer and preferred application) versus $6,000 per BMP in year one. Please note that year two applications for the preferred application BMP will be paused until 2024, when seasonal price differentials for nitrogen fertilizer can be determined.
• More BMPs per farm: Each farm can seek support for all BMPs covered by the program, versus a maximum of two BMPs in year one.
• Added eligibility for 4R plan development: The program can reimburse a portion of the consulting fees paid for a 4R designated agronomist to develop a growers’ 4R Nutrient Stewardship Plan.
• Funding continued adoption of new practices: Growers can seek funding to continue BMPs that were started since February 7, 2022.

Other program details established by AAFC will remain in place, including the 85 per cent reimbursement cap for eligible expenses and a maximum $75,000 limit in total funding received by a farm business across all OFCAF programs over the two-year OFCAF program lifetime.

The Canola Council of Canada is a full value chain organization representing canola growers, processors, life science companies and exporters. Keep it Coming 2025 is the strategic plan to ensure the canola industry’s continued growth, demand, stability and success. For more information, visit canolacouncil.org or follow CCC on Twitter @canolacouncil.","The Canola Council of Canada (CCC) is inviting applications for year two of Canola 4R Advantage through a new digital portal opening on June 26. The program, funded through Agriculture and Agri-Food Canada’s On-Farm Climate Action Fund (OFCAF), offers financial support to growers as they initiate or advance 4R Nutrient Stewardship on their farms. Year two will cover expenses invoiced and paid by growers between April 1, 2023 and March 31, 2024, with more dollars per BMPs per farm being provided. Growers can now seek up to $20,000 in assistance for each of the four eligible BMP, versus $6,000 per B MP in year one. Other program details established by AAFC will remain in place, including the 85 per cent reimbursement cap for eligible expenses and a maximum $75,000 limit in total funding received by a farm business across all OFCAF programs over the two-year OFCAf program lifetime.",0
23,"A sharp speculative increase in quotations for palm and soybean oil continues on the stock exchanges

A speculative rally in the soybean complex on the Chicago Stock Exchange, fueled by forecasts of hot and dry weather in the US soybean-growing regions in June, weighed on nearby canola and palm oil markets, which also started to rally.

Last week on the Chicago Stock Exchange, the number of November soybean contracts increased by 11%, and November soybean futures rose 3.8% to $493.2/t (+11.4% for the week) on Friday. while July soybean oil futures rose 4.5% to $1,288/t (+7.3% for the week).

Monday’s US crop status report will weigh on quotes, which remain under pressure from speculative demand.

August palm oil futures on Malaysia’s Bursa exchange rose for four straight sessions amid flooding in the country and a heatwave in the US, rising 6.3% on Friday to their highest since May 10 at 3,743 ringgit/t, or 811 $/t, adding 11.2% of the price for the week.

In Malaysia’s largest commodity-producing state, Sabah, palm plantations are experiencing water stress amid the first signs of El Niño, reducing yields and exacerbating labor shortages and fertilizer shortages seen over the past three years.

Against the background of speculative growth of quotations on world exchanges, on the Dalian Stock Exchange of China on Friday, soybean oil futures rose by 4.5%, and palm oil futures – by 5.4%.

August canola futures on the Paris exchange rose 9.2% for the week to €473.5/t or $517.8/t, adding 23% to the price since the start of the month, on forecasts of a significant reduction in the Australian canola harvest.

Growth in palm and soybean oil markets supported prices for Ukrainian sunflower oil, which rose $30/t to $850/t delivered to buyers in the week, but grain corridor disruptions continue to weigh on demand from China and India.","A sharp speculative increase in quotations for palm and soybean oil continues on the stock exchanges, fueled by forecasts of hot and dry weather in the US soybean-growing regions in June. Last week, the number of November soybean contracts increased by 11%, and November soy bean futures rose 3.8%. Monday’s US crop status report will weigh on quotes, which remain under pressure from speculative demand. August palm oil futures on Malaysia’’ Bursa exchange rose for four straight sessions amid flooding in the country and a heatwave in theUS, rising 6.3% on Friday to their highest since May 10. Prices for Ukrainian sunflower oil rose $30/t to $850/t, but grain corridor disruptions continue to weigh on demand from China and India.",0
24,"Save power lines, Cyclone Biparjoy didn’t cause much damage to other infrastructure in Kutch. However, the “very severe cyclonic storm” wreaked havoc with the horticulture crops in this vast district having the largest area under perennial crops in Gujarat.

Mundra, Mandvi, Anjar, Nakhatrana and Bhuj talukas form the main date palm belt of Kutch. These talukas also have a majority of mango orchards in the district. Officers of the horticulture department of the state said gusty winds and torrential rains brought by the cyclone have caused extensive damage to orchards of date palms, mangoes and pomegranates.

“Strong winds have uprooted date palms and pomegranate plants, while whipping mangoes to the ground. Mundra, with lots of date palm orchards, is the worst-affected,” Mandip Parsaniya, deputy director of horticulture (DDH), told The Indian Express Monday.

According to the 2021-22 data with Gujarat’s Directorate of Horticulture, Kutch has 57,735 hectares (ha), or 13.14 per cent of the state’s total 4.39 lakh ha, under fruit crop cultivation.

Of this, 19,111 ha are under date palm cultivation, which is about 95 per cent of the state’s total 20,238 ha under cultivation of this horticulture crop. Similarly, Kutch farmers have planted pomegranates in 19,325 ha, which is more than 42 per cent of the state’s total pomegranate area of 45,648 ha.

It also has 10,960 ha under mango cultivation — the fourth highest after Valsad (37,344 ha), Navsari (33,855 ha) and Gir Somnath (14,301 ha) and almost seven per cent of the state’s total mango orchards area of 1.66 lakh ha.

Sapota or chikoo (1,010 ha), banana (2,615 ha) and coconut palms (940 ha) are other major horticultural crops in Kutch.

As per the Indian Meteorological Department (IMD), Biparjoy had made landfall between Mandvi and Karachi in Pakistan with its eye hitting Jakhau port in Abdasa taluka of Kutch on June 16. As per a state government release, the maximum wind speed of 120 kilometres per hour (kmph) was recorded at Koteshwar in Lakhpat — the western most taluka of the district during the landfall.

 “Villages such as Dhrab, Jarpara, in the Mandvi taluka has among the oldest date palm orchards of Kutch and unfortunately, the wind speed and rainfall were among the highest in this taluka, uprooting or bending into two scores of date palms and tilting others.

The palms that have bent into two are dead and it is also difficult to restore those uprooted. The only hope is to salvage those that have tilted,” Kapil Mohan Sharma, a scientist at the Mundra Date Palm Research Station (DPRS) of Sardarkrushinagar Dantiwada Agricultural University, said.

Sharma said DPRS in Mundra has around 4,000 date palms and this research and demonstration orchard has also faced the brunt of the cyclone. “Due to the cyclone, 125 date palms have been uprooted in our orchard, while around 50 others have tilted. In our orchard as well as in those of the farmers, old date palms that had grown tall and heavy are the worst affected,” said Sharma.

Seed propagated or seedling-origin native varieties, popularly called desi varieties, dominate the date palm cultivation in Kutch. Orchards having palms of these varieties are the oldest in the district, said Sharma. “With old palms, we lose genetic diversity important for any crop. The worst part is that the cyclone struck when the desi varieties were ready for harvest. The impact of rain on the dates set on desi variety palms that have managed to survive would manifest in a few days in the form of fruits either bursting or falling to the ground due to additional moisture,” the scientist said. “However, late ripening varieties such as Barhi, which are raised through tissue culture, are at a maturity stage called kimri and they may survive the adverse weather event.”

Naresh Seda, a farmer with a four-hectare date palm orchard, has been counting his losses since June 16. “Out of around 600 date palms that were 10 years or older and were 30 to 35 feet high, around 300 have been uprooted or bent into two by the cyclone. I harvested my first lot of 700 kg fresh dates of desi variety on June 12 to a Surat-based trader at a farm gate price of Rs 35 per kg. I was expecting a harvest of around Rs10 lakh this season but after the damage caused by the cyclone, my harvest would hardly be worth Rs 2 lakh,” said Seda, whose mango orchard in 1.5 ha has also been damaged. “The gusty winds whipped all the mangoes to the ground. There is hardly anything left on trees to harvest,” he added.

In Tharavada Nana village of Bhuj, Mukesh Patel, a farmer with 5.4-ha pomegranate orchard and two-ha mango orchard has been trying to restore pomegranate plants that have been uprooted. “My entire pomegranate orchard has been devastated. I have hired labourers to restore the plants in an upright position and try to keep them alive, hoping their root systems will be able to bear the shock. But it is also possible that my entire orchard may dry eventually,” said Patel.

On June 16, the government stated that horticulture crops in 30,000 ha in Kutch have been affected. It has launched a survey to assess the extent of the damage. Harshad Patel, the state government’s secretary in charge of Kutch, visited Manjal village in Nakhatrana taluka to oversee the survey work.

“We have formed 140 survey teams to assess damage to horticulture crops. Reports are expected to be available within a week,” DDH Parsaniya said, adding the banana crop, too, has suffered extensive damage.","Cyclone Biparjoy caused extensive damage to date palm, mango orchards of Kutch, India, and other major horticultural crops. According to the 2021-22 data with Gujarat’s Directorate of Horticulture, Kutch has 57,735 hectares (ha), or 13.14 per cent of the state’�s total 4.39 lakh ha, under fruit crop cultivation. Mundra, with lots of date palm orchard, is the worst-affected area due to strong winds and torrential rains brought by the cyclone. Farmers have planted pomegranates in 19,325 ha, while old date palms that had grown tall and heavy are the worst affected. Seda Seda, a farmer with a four-ctare date orchard, has been counting his losses since June 16 due to the impact of rain on these varieties.",0
25,"Midwest, though rain relief in Europe and competitive prices cited by traders in an Algerian import tender limited gains. Euronext wheat rose on Monday, supported by concerns over dry weather in the US.



 Volumes were light as a U.S. holiday deprived Euronext of the usual impetus from Chicago futures. 

 September wheat on Paris-based Euronext settled up 0.9% at 241.00 euros ($263.12) per metric ton, but held below Friday's near six-week peak of 243.25 euros. Volumes were light as a U.S. holiday deprived Euronext of the usual impetus from Chicago futures.



 Euronext was buoyed last week by a weather-fuelled rally in Chicago, as well as hot, dry conditions across northern Europe. 

 Storm showers in France at the weekend and widespread rain forecast this week in Europe have tempered concerns about crop stress in the run-up to summer harvesting. Euronext was buoyed last week by a weather-fuelled rally in Chicago, as well as hot, dry conditions across northern Europe.



 However, latest weather forecasts showed little rain relief in the rest of June in the heart of the U.S. Midwest, raising expectations of a further rally in Chicago futures when they reopen on Tuesday, dealers said. 

 The European Union's crop monitoring service lowered its monthly forecast of this year's EU soft wheat yield, citing adverse weather, though the estimate remained above last year's level. However, latest weather forecasts showed little rain relief in the rest of June in the heart of the U.S. Midwest, raising expectations of a further rally in Chicago futures when they reopen on Tuesday, dealers said.



 A purchase tender on Monday by Algeria, a major export outlet for EU wheat, was being assessed for signs of Black Sea competition, with initial purchases suspected to reflect Russian prices. 

 Euronext rapeseed retreated from Friday's two-month peak, though the market pared losses by the close as U.S. weather forecasts maintained concerns about crop stress to soybeans.

 A purchase tender on Monday by Algeria, a major export outlet for EU wheat, was being assessed for signs of Black Sea competition, with initial purchases suspected to reflect Russian prices.

""A good volume of rain fell in east Germany in past days which has helped to relieve concern there, but northern regions including Schleswig-Holstein, parts of Mecklenburg-Vorpommern and Lower Saxony hardly received anything,â€ one German trader said.","Euronext wheat rose on Monday, supported by concerns over dry weather in the US, while September wheat on Paris-based Euronext settled up 0.9% at 241.00 euros ($263.12) per metric ton. The European Union's crop monitoring service lowered its monthly forecast of this year's EU soft wheat yield, citing adverse weather, though the estimate remained above last year's level. Storm showers in France at the weekend and widespread rain forecast this week in Europe have tempered concerns about crop stress in the run-up to summer harvesting. However, latest weather forecasts showed little rain relief in the rest of June in the heart of the U.S. Midwest, raising expectations of a further rally in Chicago futures when they reopen on Tuesday. A purchase tender on Monday by Algeria was being assessed for signs of Black Sea competition, with initial purchases suspected to reflect Russian prices.",0
26,"Egypt’s strategic reserves of wheat enough for six months – state news

Egypt’s strategic reserves of wheat are sufficient for six months, the state news agency reported on Monday, citing Supply Minister Ali Moselhy.

The minister said that Egypt has procured 3.6 million metric tons of local wheat so far, according to the agency.

As for rice and vegetable oils, the country’s strategic reserves are sufficient for 3.3 months and for 4 months respectively, the state news agency added, citing the supply minister.

 Source: Reuters (Reporting by Nayera Abdallah, Writing by Clauda Tanios; Editing by Louise Heavens)","Egypt's strategic reserves of wheat are enough for six months, according to the state news agency. The country has procured 3.6 million metric tons of local wheat so far, and its strategic reserves are sufficient for 3.3 months and 4 months respectively. For rice and vegetable oils, the country’s strategic reserves is sufficient for three months and four months respectively, respectively.",0
